"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"msedgewebview2","1","176","2272194121728","8216576","2138112","9648","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\112.0.1722.58\msedgewebview2.exe","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\112.0.1722.58\msedgewebview2.exe"" --type=crashpad-handler --user-data-dir=C:\Users\hybri\AppData\Local\Microsoft\Office\16.0\Wef\webview2\2d1c57dc035422ad_LiveId\2\EBWebView /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\hybri\AppData\Local\Microsoft\Office\16.0\Wef\webview2\2d1c57dc035422ad_LiveId\2\EBWebView\Crashpad --metrics-dir=C:\Users\hybri\AppData\Local\Microsoft\Office\16.0\Wef\webview2\2d1c57dc035422ad_LiveId\2\EBWebView --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=112.0.5615.138 ""--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\112.0.1722.58\msedgewebview2.exe"" --annotation=plat=Win64 ""--annotation=prod=Edge WebView2"" --annotation=ver=112.0.1722.58 --initial-client-data=0x10c,0x110,0x114,0xe8,0x120,0x7ffd71d435f0,0x7ffd71d43600,0x7ffd71d43610","System.Diagnostics.Process (msedgewebview2)","Microsoft Corporation","0.046875","112.0.1722.58","112.0.1722.58","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5384","8",,"False","4/25/2023 9:32:47 AM",,"18688",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","9648","9648","2138112","2138112","119808","119808","2301952","2301952","8351744","8351744","2272211062784","173363200","True","Normal","2138112","2138112","255","1",,"System.Diagnostics.ProcessThreadCollection","176","2272194121728","156422144","False",,,,"8216576","8216576",,"System.Diagnostics.ProcessModule (msedgewebview2.exe)","00:00:00.0312500","00:00:00.0468750","00:00:00.0156250","msedgewebview2","0","","True",,
"msedgewebview2","1","291","2306880946176","35557376","11350016","17800","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\112.0.1722.58\msedgewebview2.exe","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\112.0.1722.58\msedgewebview2.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --noerrdialogs --user-data-dir=""C:\Users\hybri\AppData\Local\Microsoft\Office\16.0\Wef\webview2\2d1c57dc035422ad_LiveId\2\EBWebView"" --webview-exe-name=OUTLOOK.EXE --webview-exe-version=16.0.16227.20280 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --mojo-platform-channel-handle=2064 --field-trial-handle=1904,i,13730781411116786651,14564132324595044081,131072 --enable-features=SpareRendererForSitePerProcess,msSingleSignOnOSForPrimaryAccountIsShared --disable-features=MojoIpcz /prefetch:3","System.Diagnostics.Process (msedgewebview2)","Microsoft Corporation","6.140625","112.0.1722.58","112.0.1722.58","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5108","8",,"False","4/25/2023 9:32:47 AM",,"23924",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17800","17800","11350016","11350016","744816","744816","13602816","13602816","37081088","37081088","2306952249344","554811392","True","Normal","11350016","11350016","255","1",,"System.Diagnostics.ProcessThreadCollection","291","2306880946176","483508224","False",,,,"35557376","35557376",,"System.Diagnostics.ProcessModule (msedgewebview2.exe)","00:00:03.7187500","00:00:06.1406250","00:00:02.4218750","msedgewebview2","0","","True",,
"msedgewebview2","1","208","2306839031808","20172800","8048640","13864","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\112.0.1722.58\msedgewebview2.exe","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\112.0.1722.58\msedgewebview2.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --noerrdialogs --user-data-dir=""C:\Users\hybri\AppData\Local\Microsoft\Office\16.0\Wef\webview2\2d1c57dc035422ad_LiveId\2\EBWebView"" --webview-exe-name=OUTLOOK.EXE --webview-exe-version=16.0.16227.20280 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --mojo-platform-channel-handle=2368 --field-trial-handle=1904,i,13730781411116786651,14564132324595044081,131072 --enable-features=SpareRendererForSitePerProcess,msSingleSignOnOSForPrimaryAccountIsShared --disable-features=MojoIpcz /prefetch:8","System.Diagnostics.Process (msedgewebview2)","Microsoft Corporation","0.109375","112.0.1722.58","112.0.1722.58","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5220","8",,"False","4/25/2023 9:32:47 AM",,"25636",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13864","13864","8048640","8048640","685832","685832","8101888","8101888","20201472","20201472","2306855809024","458371072","True","Normal","8048640","8048640","255","1",,"System.Diagnostics.ProcessThreadCollection","208","2306839031808","441593856","False",,,,"20172800","20172800",,"System.Diagnostics.ProcessModule (msedgewebview2.exe)","00:00:00.0312500","00:00:00.1093750","00:00:00.0781250","msedgewebview2","0","","True",,
"msedgewebview2","1","319","3486458753024","101699584","53137408","19552","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\112.0.1722.58\msedgewebview2.exe","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\112.0.1722.58\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\hybri\AppData\Local\Microsoft\Office\16.0\Wef\webview2\2d1c57dc035422ad_LiveId\2\EBWebView"" --webview-exe-name=OUTLOOK.EXE --webview-exe-version=16.0.16227.20280 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=12 --js-flags=""--harmony-weak-refs-with-cleanup-some --expose-gc --ms-user-locale="" --time-ticks-at-unix-epoch=-1681939307993459 --launch-time-ticks=501345004949 --mojo-platform-channel-handle=3704 --field-trial-handle=1904,i,13730781411116786651,14564132324595044081,131072 --enable-features=SpareRendererForSitePerProcess,msSingleSignOnOSForPrimaryAccountIsShared --disable-features=MojoIpcz /prefetch:1","System.Diagnostics.Process (msedgewebview2)","Microsoft Corporation","7.3125","112.0.1722.58","112.0.1722.58","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4172","8",,"False","4/25/2023 9:37:32 AM",,"25708",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19552","19552","53137408","53137408","724072","724072","81690624","81690624","123703296","123703296","3488633499648","1120055296","True","Normal","53137408","53137408","255","1",,"System.Diagnostics.ProcessThreadCollection","319","3486458753024","-1054691328","False",,,,"101699584","101699584",,"System.Diagnostics.ProcessModule (msedgewebview2.exe)","00:00:01.6250000","00:00:07.3125000","00:00:05.6875000","msedgewebview2","0","","True",,
"MsMpEng","0","980","2204089044992","327376896","403329024","104040",,,,,,,,,,"Process",,,"8",,,,,"4356",".",,,,"104040","104040","403329024","403329024","580528","580528","878948352","878948352","797822976","797822976","2204567572480","1249349632",,,"403329024","403329024",,"0",,"System.Diagnostics.ProcessThreadCollection","980","2204089044992","770822144","False",,,,"327376896","327376896",,,,,,"MsMpEng","0","","True",,
"NisSrv","0","215","2203426246656","8859648","6873088","14016",,,,,,,,,,"Process",,,"8",,,,,"6388",".",,,,"14016","14016","6873088","6873088","117840","117840","13787136","13787136","12959744","12959744","2203463569408","145346560",,,"6873088","6873088",,"0",,"System.Diagnostics.ProcessThreadCollection","215","2203426246656","108023808","False",,,,"8859648","8859648",,,,,,"NisSrv","0","","True",,
"node","1","444","4747776000","63774720","47763456","766872","C:\Program Files\Adobe\Adobe Creative Cloud Experience\libs\node.exe","""C:\Program Files\Adobe\Adobe Creative Cloud Experience\libs\node.exe"" ""C:\Program Files\Adobe\Adobe Creative Cloud Experience\js\main.js""","System.Diagnostics.Process (CCXProcess)","Node.js","875.171875","16.13.2","16.13.2","Node.js JavaScript Runtime","Node.js","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5192","8",,"False","4/19/2023 2:22:17 PM",,"15228",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","766872","766872","47763456","47763456","343424","343424","351551488","351551488","308690944","308690944","5050363904","755396608","True","Normal","47763456","47763456","255","1",,"System.Diagnostics.ProcessThreadCollection","444","4747776000","452808704","False",,,,"63774720","63774720",,"System.Diagnostics.ProcessModule (node.exe)","00:03:48.2031250","00:14:35.1718750","00:10:46.9687500","node","0","","True",,
"node","1","550","4743262208","71991296","60891136","867392","C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\libs\node.exe","""C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\libs\node.exe"" ""C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\js\server.js""","System.Diagnostics.Process (CCLibrary)","Node.js","254.3125","16.13.2","16.13.2","Node.js JavaScript Runtime","Node.js","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3812","8",,"False","4/19/2023 2:22:18 PM",,"15696",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","867392","867392","60891136","60891136","364032","364032","81350656","81350656","91795456","91795456","4754468864","459501568","True","Normal","60891136","60891136","255","1",,"System.Diagnostics.ProcessThreadCollection","550","4743262208","448294912","False",,,,"71991296","71991296",,"System.Diagnostics.ProcessModule (node.exe)","00:03:08.3906250","00:04:14.3125000","00:01:05.9218750","node","0","","True",,
"NVDisplay.Container","0","342","2203456434176","11284480","7790592","16952",,,,,,,,,,"Process",,,"8",,,,,"2132",".",,,,"16952","16952","7790592","7790592","189424","189424","7970816","7970816","22814720","22814720","2203461697536","143474688",,,"7790592","7790592",,"0",,"System.Diagnostics.ProcessThreadCollection","342","2203456434176","138211328","False",,,,"11284480","11284480",,,,,,"NVDisplay.Container","0","","True",,
"NVDisplay.Container","1","819","2203727831040","58834944","46956544","34408",,,,,,,,,,"Process",,,"8",,,,,"2992",".",,,,"34408","34408","46956544","46956544","422808","422808","169897984","169897984","191832064","191832064","2203763474432","445251584",,,"46956544","46956544",,"1",,"System.Diagnostics.ProcessThreadCollection","819","2203727831040","409608192","False",,,,"58834944","58834944",,,,,,"NVDisplay.Container","0","","True",,
"nvWmi64","0","151","2203403804672","3784704","3158016","9032",,,,,,,,,,"Process",,,"8",,,,,"2180",".",,,,"9032","9032","3158016","3158016","99992","99992","3190784","3190784","11407360","11407360","2203413798912","95576064",,,"3158016","3158016",,"0",,"System.Diagnostics.ProcessThreadCollection","151","2203403804672","85581824","False",,,,"3784704","3784704",,,,,,"nvWmi64","0","","True",,
"nvWmi64","1","216","2203481755648","7704576","6516736","13920",,,,,,,,,,"Process",,,"8",,,,,"7288",".",,,,"13920","13920","6516736","6516736","181584","181584","44789760","44789760","52584448","52584448","2203505414144","187191296",,,"6516736","6516736",,"1",,"System.Diagnostics.ProcessThreadCollection","216","2203481755648","163532800","False",,,,"7704576","7704576",,,,,,"nvWmi64","0","","True",,
"OfficeClickToRun","0","908","2203597230080","54841344","41046016","28360",,,,,,,,,,"Process",,,"8",,,,,"4332",".",,,,"28360","28360","41046016","41046016","314464","314464","82616320","82616320","103436288","103436288","2203632570368","314347520",,,"41046016","41046016",,"0",,"System.Diagnostics.ProcessThreadCollection","908","2203597230080","279007232","False",,,,"54841344","54841344",,,,,,"OfficeClickToRun","0","","True",,
"OneApp.IGCC.WinService","0","846","4982788096","23736320","40177664","32216",,,,,,,,,,"Process",,,"8",,,,,"3144",".",,,,"32216","32216","40177664","40177664","436648","436648","41832448","41832448","59170816","59170816","5062029312","767062016",,,"40177664","40177664",,"0",,"System.Diagnostics.ProcessThreadCollection","846","4982788096","687820800","False",,,,"23736320","23736320",,,,,,"OneApp.IGCC.WinService","0","","True",,
"OneDrive","1","1101","2203931639808","116826112","56389632","59424","C:\Program Files\Microsoft OneDrive\OneDrive.exe"," /updateInstalled /background",,"Microsoft Corporation","80.453125","23.076.0409.0001","23.076.0409.0001","Microsoft OneDrive","Microsoft OneDrive","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5268","8",,"False","4/21/2023 2:22:38 PM",,"15596",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","59424","59424","56389632","56389632","834704","834704","103636992","103636992","162586624","162586624","2203987038208","668815360","True","Normal","56389632","56389632","255","1",,"System.Diagnostics.ProcessThreadCollection","1101","2203931639808","613416960","False",,,,"116826112","116826112",,"System.Diagnostics.ProcessModule (OneDrive.exe)","00:00:52.6562500","00:01:20.4531250","00:00:27.7968750","OneDrive","0","","True",,
"OneDrive","1","1082","2203977093120","128221184","69345280","60216","C:\Program Files\Microsoft OneDrive\OneDrive.exe","""C:\Program Files\Microsoft OneDrive\OneDrive.exe"" /client=Personal /background","System.Diagnostics.Process (OneDrive)","Microsoft Corporation","81605.25","23.076.0409.0001","23.076.0409.0001","Microsoft OneDrive","Microsoft OneDrive","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5340","8",,"False","4/21/2023 2:22:38 PM",,"18016",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","60216","60216","69345280","69345280","895096","895096","89620480","89620480","157446144","157446144","2204017594368","699371520","True","Normal","69345280","69345280","255","1",,"System.Diagnostics.ProcessThreadCollection","1082","2203977093120","658870272","False",,,,"128221184","128221184",,"System.Diagnostics.ProcessModule (OneDrive.exe)","03:41:24.0937500","22:40:05.2500000","18:58:41.1562500","OneDrive","0","","True",,
"OUTLOOK","1","5996","2246690033664","505315328","314892288","171600","C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE","""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"" ","System.Diagnostics.Process (explorer)","Microsoft Corporation","222.765625","16.0.16227.20280","16.0.16227.20280","Microsoft Outlook","Microsoft Outlook","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4032","8",,"False","4/25/2023 9:32:41 AM",,"16036",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","171600","171600","314892288","314892288","3913024","3913024","337801216","337801216","522784768","522784768","2246760996864","493101056","True","Normal","314892288","314892288","255","1",,"System.Diagnostics.ProcessThreadCollection","5996","2246690033664","422137856","False",,,,"505315328","505315328",,"System.Diagnostics.ProcessModule (OUTLOOK.EXE)","00:01:45.5625000","00:03:42.7656250","00:01:57.2031250","OUTLOOK","461048","Inbox - jfr@hybridfutr.com - Outlook","True",,
"PhoneExperienceHost","1","1433","2481420734464","177647616","78512128","114528","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.23032.186.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","""C:\Program Files\WindowsApps\Microsoft.YourPhone_1.23032.186.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe"" -ComServer:Background -Embedding",,"Microsoft Corporation","5.265625","1.23032.186.0","1.23032.186.0","Microsoft Phone Link","Microsoft Your Phone","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2288","8",,"False","4/24/2023 3:57:14 PM",,"25888",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","114528","114528","78512128","78512128","1056064","1056064","80113664","80113664","180310016","180310016","2481458601984","-1032495104","True","Normal","78512128","78512128","255","1",,"System.Diagnostics.ProcessThreadCollection","1433","2481420734464","-1070362624","False",,,,"177647616","177647616",,"System.Diagnostics.ProcessModule (PhoneExperienceHost.exe)","00:00:02.7656250","00:00:05.2656250","00:00:02.5000000","PhoneExperienceHost","0","","True",,
"prevhost","1","203","2237809737728","18464768","2985984","12568","C:\Windows\system32\prevhost.exe","C:\Windows\system32\prevhost.exe {914FEED8-267A-4BAA-B8AA-21E233792679} -Embedding",,"Microsoft Corporation","0.1875","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Preview Handler Surrogate Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3184","8",,"False","4/24/2023 3:27:38 PM",,"14248",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12568","12568","2985984","2985984","189216","189216","3112960","3112960","18526208","18526208","2237831438336","153477120","True","Normal","2985984","2985984","255","1",,"System.Diagnostics.ProcessThreadCollection","203","2237809737728","131776512","False",,,,"18464768","18464768",,"System.Diagnostics.ProcessModule (prevhost.exe)","00:00:00.0937500","00:00:00.1875000","00:00:00.0937500","prevhost","0","","True",,
"pwsh","1","1012","2481093595136","317054976","259948544","132368","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module 'c:\Users\hybri\.vscode\extensions\ms-vscode.powershell-2023.3.3\modules\PowerShellEditorServices\PowerShellEditorServices.psd1'; Start-EditorServices -HostName 'Visual Studio Code Host' -HostProfileId 'Microsoft.VSCode' -HostVersion '2023.3.3' -AdditionalModules @('PowerShellEditorServices.VSCode') -BundledModulesPath 'c:\Users\hybri\.vscode\extensions\ms-vscode.powershell-2023.3.3\modules' -EnableConsoleRepl -StartupBanner \""PowerShell Extension v2023.3.3
Copyright (c) Microsoft Corporation.

https://aka.ms/vscode-powershell
Type 'help' to get help.
\"" -LogLevel 'Normal' -LogPath 'c:\Users\hybri\AppData\Roaming\Code\User\globalStorage\ms-vscode.powershell\logs\1681950065-bf2bd887-a84e-45af-9cbd-e7a78b6c6dca1681939751638\EditorServices.log' -SessionDetailsPath 'c:\Users\hybri\AppData\Roaming\Code\User\globalStorage\ms-vscode.powershell\sessions\PSES-VSCode-7268-631605.json' -FeatureFlags @() ""","System.Diagnostics.Process (Code)","Microsoft Corporation","58.65625","7.3.4.500","7.3.4 SHA: b59f05d5a1b2fceca231f75c53c203a02edf6203","pwsh","PowerShell","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4364","8",,"False","4/19/2023 5:21:05 PM",,"9888",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","132368","132368","259948544","259948544","593704","593704","260190208","260190208","317468672","317468672","2481109180416","-1381916672","True","Normal","259948544","259948544","255","1",,"System.Diagnostics.ProcessThreadCollection","1012","2481093595136","-1397501952","False",,,,"317054976","317054976",,"System.Diagnostics.ProcessModule (pwsh.exe)","00:00:24.5156250","00:00:58.7031250","00:00:34.1875000","pwsh","0","","True",,
"Registry","0","0","125386752","52891648","7163904","13600",,,,,,,,,,"Process",,,"8",,,,,"140",".",,,,"13600","13600","7163904","7163904","249120","249120","38277120","38277120","104587264","104587264","180076544","180076544",,,"7163904","7163904",,"0",,"System.Diagnostics.ProcessThreadCollection","0","125386752","125386752","False",,,,"52891648","52891648",,,,,,"Registry","0","","True",,
"rundll32","1","142","2203416317952","9850880","1859584","9920","C:\Windows\system32\rundll32.exe","""C:\Windows\system32\rundll32.exe"" -localserver 22d8c27b-47a1-48d1-ad08-7da7abd79617","System.Diagnostics.Process (explorer)","Microsoft Corporation","0.046875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows host process (Rundll32)","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5768","8",,"False","4/23/2023 12:28:58 PM",,"27200",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","9920","9920","1859584","1859584","121712","121712","3330048","3330048","10579968","10579968","2203418427392","100204544","True","Normal","1859584","1859584","255","1",,"System.Diagnostics.ProcessThreadCollection","142","2203416317952","98095104","False",,,,"9850880","9850880",,"System.Diagnostics.ProcessModule (rundll32.exe)","00:00:00.0156250","00:00:00.0468750","00:00:00.0312500","rundll32","0","","True",,
"RuntimeBroker","1","548","2203557232640","24870912","11378688","27024","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding",,"Microsoft Corporation","23.375","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Runtime Broker","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3320","8",,"False","4/19/2023 2:21:59 PM",,"6008",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","27024","27024","11378688","11378688","352424","352424","17666048","17666048","49991680","49991680","2203623849984","305627136","True","Normal","11378688","11378688","255","1",,"System.Diagnostics.ProcessThreadCollection","548","2203557232640","239009792","False",,,,"24870912","24870912",,"System.Diagnostics.ProcessModule (RuntimeBroker.exe)","00:00:11.8125000","00:00:23.3750000","00:00:11.5625000","RuntimeBroker","0","","True",,
"RuntimeBroker","1","341","2203475329024","26226688","6250496","17672","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding",,"Microsoft Corporation","0.640625","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Runtime Broker","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5420","8",,"False","4/21/2023 1:09:37 PM",,"7880",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17672","17672","6250496","6250496","234720","234720","7753728","7753728","29769728","29769728","2203497115648","178892800","True","Normal","6250496","6250496","255","1",,"System.Diagnostics.ProcessThreadCollection","341","2203475329024","157106176","False",,,,"26226688","26226688",,"System.Diagnostics.ProcessModule (RuntimeBroker.exe)","00:00:00.4375000","00:00:00.6406250","00:00:00.2031250","RuntimeBroker","0","","True",,
